"Composer","DOB"
"Ana Bofill Levi","1944"
"Dušan Bogdanović","1955"
"Nikita Bogoslovsky","1913"
"Georg Böhm","1661"
"Theobald Boehm","1794"
"Oskar Böhme","1870"
"Emil Bohnke","1888"
"Francois-Adrien Boieldieu","1775"
"Rob du Bois","1934"
"Arrigo Boito","1842"
"Michèle Bokanowski","1943"
"William Bolcom","1938"
"Anne Boleyn","1507"
"Claude Bolling","1930"
"Bartolomeo da Bologna","1405"
"Chevalier de Saint-Georges","1745"
"Andreas Boltz","1964"
"Ginés de Boluda","1545"
"João Domingos Bomtempo","1775"
"Anna Bon di Venezia","1739"
"Ferdinando Bonazzi","1764"
"Capel Bond","1730"
"Carrie Bond","1862"
"Victoria Bond","1945"
"Emmanuel Bondeville","1898"
"Margaret Allison Bonds","1913"
"Luiz Bonfá","1922"
"Andrée Bonhomme","1905"
"Severo Bonini","1582"
"Mélanie Bonis","1858"
"Paul Bonneau","1918"
"Joseph Bonnet","1884"
"Antonio Maria Bononcini","1677"
"Giovanni Bononcini","1670"
"Giovanni Maria Bononcini","1642"
"Francesco Antonio Bonporti","1672"
"Giovanni Andrea Bontempi","1624"
"Henriette van den Boorn-Coclet","1866"
"Francis Boott","1813"
"Modesta Bor","1926"
"Melchior Borchgrevinck","1570"
"David Borden","1938"
"Johanna Bordewijk-Roepman","1892"
"Benjamin Boretz","1934"
"Oscar Borg","1851"
"Raúl Borges","1882"
"François Borne","1840"
"Alexander Borodin","1833"
"Felix Borowski","1872"
"Teresa Borràs i Fornell","1923"
"Hakon Børresen","1876"
"Edith Borroff","1925"
"Pietro Paolo Borrono","1490"
"Sergei Bortkiewicz","1877"
"Dmitry Bortniansky","1751"
"Daniel Börtz","1943"
"Axel Borup-Jørgensen","1924"
"Ruud Bos","1936"
"Maura Bosch","1958"
"Cornelis Boscoop","1531"
"Henriëtte Bosmans","1895"
"Jean-Yves Bosseur","1947"
"Costante Adolfo Bossi","1876"
"Marco Enrico Bossi","1861"
"Franciscus Bossinensis","1509"
"George Botsford","1874"
"Hans Bottermund","1892"
"Giovanni Bottesini","1821"
"Marianna Bottini","1802"
"Linda Bouchard","1957"
